Location_clean,Deprem_Sayisi,Ort_Buyukluk,Max_Buyukluk,Ort_Derinlik
ASAGIINOVA-YENICE (ÇANAKKALE) [NORTH EAST  2.0 KM],2,4.7,4.8,31.5
AKÇAKOCA AÇIKLARI-DÜZCE (KARADENIZ),2,4.8,4.9,35.0
SARAYCIK-ALTINTAS (KÜTAHYA) [SOUTH 8.0 KM],1,4.6,4.6,37.0
KUSCAYIRI-ILGAZ (ÇANKIRI) [SOUTH EAST  1.1 KM],1,5.1,5.1,20.0
KUYUMCU-LACIN (ÇORUM) [SOUTH WEST  3.1 KM],1,5.6,5.6,40.0
KUZOREN-CERKES (ÇANKIRI) [SOUTH EAST  2.8 KM],1,6.4,6.4,10.0
PASAKOY-AYVACIK (ÇANAKKALE) [EAST 3.0 KM],1,4.5,4.5,10.0
SARAYCIK-ALTINTAS (KÜTAHYA) [NORTH WEST  3.8 KM],1,5.0,5.0,37.0
SARAYCIK-ALTINTAS (KÜTAHYA) [NORTH WEST  3.0 KM],1,4.8,4.8,16.0
MAMAK-SIMAV (KÜTAHYA) [NORTH WEST  1.3 KM],1,4.0,4.0,8.3
SARAYCIK-ALTINTAS (KÜTAHYA) [NORTH WEST  2.8 KM],1,4.8,4.8,35.0
KÜTAHYA (KÜTAHYA) [SOUTH EAST  2.5 KM],1,4.4,4.4,10.0
SARIAYAK-EMET (KÜTAHYA) [NORTH WEST  2.6 KM],1,4.5,4.5,10.0
SARAYCIK-ALTINTAS (KÜTAHYA) [EAST 3.2 KM],1,5.0,5.0,32.0
SARMASIK-ILGAZ (ÇANKIRI) [NORTH WEST  0.3 KM],1,4.5,4.5,33.0
KUS GÖLÜ,1,4.9,4.9,17.0
KUS GOLU,1,4.5,4.5,11.8
KURTDERE-HISARCIK (KÜTAHYA) [NORTH EAST  1.7 KM],1,4.4,4.4,10.0
KURSUNKAYA-KESKIN (KIRIKKALE) [WEST 2.0 KM],1,4.8,4.8,10.0
KUREBOGAZI-BAHSILI (KIRIKKALE) [NORTH WEST  1.5 KM],1,4.2,4.2,5.0
SAZ-GEDIZ (KÜTAHYA) [SOUTH WEST  3.2 KM],1,4.5,4.5,10.0
KUCUKKOY-DOMANIC (KÜTAHYA) [SOUTH EAST  1.1 KM],1,5.5,5.5,20.0
KONUS-EMET (KÜTAHYA) [SOUTH EAST  4.4 KM],1,5.5,5.5,38.0
SEDDULBAHIR-ECEABAT (ÇANAKKALE) [NORTH EAST  2.1 KM],1,4.9,4.9,50.0
SEKIKOY-KARGI (ÇORUM) [SOUTH WEST  1.3 KM],1,5.1,5.1,40.0
SARAYCIK-ALTINTAS (KÜTAHYA) [NORTH WEST  2.3 KM],1,5.4,5.4,24.0
SAPHANE (KÜTAHYA) [SOUTH WEST  2.4 KM],1,4.6,4.6,9.0
PINARCIK-ALTINTAS (KÜTAHYA) [SOUTH EAST  2.2 KM],1,4.3,4.3,10.0
SAPHANE (KÜTAHYA) [NORTH WEST  2.4 KM],1,4.4,4.4,15.0
OYSU-ALTINTAS (KÜTAHYA) [WEST 2.0 KM],1,5.3,5.3,40.0
POLAT-GEDIZ (KÜTAHYA) [SOUTH WEST  1.7 KM],1,4.4,4.4,42.0
OYSU-ALTINTAS (KÜTAHYA) [SOUTH WEST  5.4 KM],1,4.1,4.1,5.4
OYSU-ALTINTAS (KÜTAHYA) [SOUTH EAST  2.5 KM],1,4.4,4.4,20.0
RAMAZANLAR-BIGA (ÇANAKKALE) [EAST 1.0 KM],1,4.3,4.3,10.0
OYSU-ALTINTAS (KÜTAHYA) [NORTH WEST  2.9 KM],1,4.6,4.6,5.4
OVAKOY-SILOPI (SIRNAK) [SOUTH EAST  8.0 KM],1,4.7,4.7,60.0
OVAKOY-SILOPI (SIRNAK) [SOUTH 6.5 KM],1,4.1,4.1,8.8
ORUCBEYLI- (BAYBURT) [EAST 3.1 KM],1,4.6,4.6,20.0
SABAHOLDU-CILDIR (ARDAHAN) [SOUTH WEST  1.7 KM],1,4.6,4.6,31.0
ORTACA-DOMANIC (KÜTAHYA) [SOUTH WEST  1.3 KM],1,5.2,5.2,10.0
ORTABAYINDIR-ORTA (ÇANKIRI) [EAST 3.1 KM],1,4.0,4.0,7.5
ORTABAG-ULUDERE (SIRNAK) [NORTH EAST  3.9 KM],1,5.4,5.4,8.1
ORHANLAR-PAZARLAR (KÜTAHYA) [SOUTH WEST  1.5 KM],1,4.4,4.4,14.0
SELIMIYE-ARMUTLU (YALOVA) [SOUTH EAST  2.5 KM],1,4.1,4.1,10.0
ODUN ISKELE AÇIKLARI-ÇANAKKALE (EGE DENIZI),1,4.1,4.1,9.0
SAKLAR-HISARCIK (KÜTAHYA) [NORTH EAST  1.1 KM],1,4.4,4.4,10.0
NEVSEHIR,1,4.6,4.6,30.0
NASA-SIMAV (KÜTAHYA) [SOUTH EAST  2.6 KM],1,4.1,4.1,35.0
MURATLI-DOMANIC (KÜTAHYA) [SOUTH EAST  1.1 KM],1,5.3,5.3,50.0
MORSUNBUL- (ÇORUM) [SOUTH WEST  1.8 KM],1,4.1,4.1,7.0
MEZRA-BEYTUSSEBAP (SIRNAK) [NORTH WEST  9.0 KM],1,5.2,5.2,30.0
MELEKLI- (IGDIR) [NORTH EAST  3.2 KM],1,5.2,5.2,40.0
