Date,Time,Magnitude,Depth,Latitude,Longitude,Kaggle_Location,EMDAT_Location,Total_Deaths,EMDAT_Date,Distance_km,match_type
1979-07-18,13:12:23.000,5.2,7.0,39.66,28.65,DELICE-DURSUNBEY (BALIKESIR) [SOUTH WEST  3.2 KM],"DURSUNVEY, ANATOLIA",0,1979-07-18,1.5852820465818467,strict
1986-10-11,09:00:10.900000,5.5,5.0,37.94,28.56,YORE-KUYUCAK (AYDIN) [NORTH EAST  2.3 KM],AYDIN,0,1986-10-11,1.5839809019452276,strict
2003-07-26,01:00:57.300000,4.9,6.0,38.11,28.87,ALACAOGLU-BULDAN (DENIZLI) [SOUTH EAST  1.8 KM],DENIZLI,0,2003-07-26,1.491491040847651,strict
2003-04-10,00:40:15.400000,5.9,11.0,38.21,26.79,DUZCE-SEFERIHISAR (IZMIR) [SOUTH WEST  4.2 KM],IZMIR,0,2003-04-10,14.728144280653956,strict
2004-03-25,19:30:46.300000,5.4,10.0,39.92,40.82,KANDILLI-ASKALE (ERZURUM) [NORTH WEST  2.4 KM],ERZURUM,9,2004-03-25,1.3045360421210854,strict
2004-03-28,03:51:08.800000,5.1,10.0,39.93,40.83,CAYKOY-ASKALE (ERZURUM) [SOUTH EAST  2.1 KM],ERZURUM,0,2004-03-28,9.963462428500481,strict
2004-07-01,22:30:08.600000,5.2,10.0,39.63,43.94,GUNYOLU-DOGUBAYAZIT (AGRI) [NORTH WEST  4.5 KM],AGRI,18,2004-07-01,15.486242375942565,strict
2005-01-25,16:44:12.200000,5.8,22.0,37.57,43.68,OTLUCA- (HAKKARI) [SOUTH WEST  3.6 KM],ADANA,2,2005-01-25,6.126932322628832,strict
2005-03-14,01:55:55.600000,5.9,5.0,39.3475,40.8847,KAZANLI-KARLIOVA (BINGOL) [SOUTH WEST  4.2 KM],BINGOL,0,2005-03-14,0.8544424152705977,strict
2005-06-06,07:41:26.980000,5.7,5.0,39.3623,40.9178,ILIPINAR-KARLIOVA (BINGOL) [SOUTH WEST  2.3 KM],BINGOL,0,2005-06-06,21.100019633878777,strict
2010-03-08,02:32:31.090000,6.0,5.0,38.83,40.1308,ISAAGAMEZRASI-KOVANCILAR (ELAZIG) [SOUTH WEST  0.6 KM],ELAZIG,51,2010-03-08,13.097373373540044,strict
2011-05-19,20:15:22.940000,5.9,6.9,39.1553,29.0893,SOGUT-SIMAV (KÜTAHYA) [NORTH EAST  3.2 KM],KUTAHYA,3,2011-05-19,1.3734201943210613,strict
2011-10-23,10:41:21.010000,6.7,5.0,38.7212,43.411,YEMLICE- (VAN) [NORTH WEST  1.5 KM],BITLIS,604,2011-10-23,8.415195400062487,strict
2011-11-09,19:23:34.670000,5.6,6.0,38.4217,43.2112,EDREMIT (VAN) [WEST 2.6 KM],VAN,40,2011-11-09,1.7502125611291444,strict
2019-09-26,10:59:24.550000,5.7,13.3,40.8802,28.216,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI),ISTANBUL,1,2019-09-26,3.77551615751093,strict
2020-02-23,16:00:29.570000,5.9,7.2,38.4143,44.4925,TURKIYE-IRAN SINIR BOLGESI,VAN,9,2020-02-23,14.848756458587092,strict
2020-06-15,06:51:29.020000,5.6,5.0,39.3552,40.7597,KAYNARPINAR-KARLIOVA (BINGOL) [SOUTH 2.8 KM],ERZURUM,1,2020-06-14,9.086660561020238,strict
2020-06-25,10:03:27.960000,5.1,5.3,38.4658,44.1668,ORENBURC-SARAY (VAN) [SOUTH 1.2 KM],VAN,0,2020-06-25,16.175587941286672,strict
2020-10-30,11:51:24.370000,6.7,11.2,37.8877,26.7057,EGE DENIZI,IZMIR,115,2020-10-30,7.01983325971825,strict
2022-11-23,01:08:14.450000,6.1,8.3,40.831,30.9977,SARIDERE-GOLYAKA (DUZCE) [NORTH WEST  0.8 KM],BOLU,2,2022-11-23,3.1361132259717452,strict
2023-02-06,10:24:47.880000,7.4,5.0,38.0818,37.1773,EKINOZU (KAHRAMANMARAS) [NORTH WEST  2.7 KM],ADANA,53000,2023-02-06,58.491950443924004,loose
2023-02-20,17:04:28.140000,6.4,20.2,36.0487,36.1132,DAGDUZU- (HATAY) [SOUTH EAST  2.5 KM],HATAY,6,2023-02-20,14.17932114651059,strict
